source,log_message,target_label,layer,confidence,reasoning_tokens
RecommendationEngine,Model inference drift detected after feature distribution shift in user embeddings.,Resource Warning,Layer 2 (BERT Vector Boundary),30.7%,"[""embeddings"", ""user""]"
RecommendationEngine,Cold start fallback triggered due to insufficient user history vector coverage.,System Activity,Layer 2 (Heuristic Fallback),Automated,[]
NotificationService,Email dispatch delayed due to SMTP queue congestion and retry backoff saturation.,HTTP Status,Layer 1 (Regex Syntactical Rule),100.0% (Deterministic Match),"[""patch""]"
NotificationService,Push notification service rate limited after burst traffic spike.,Network Anomaly,Layer 2 (BERT Vector Boundary),49.4%,"[""traffic""]"
AuditService,Unauthorized configuration change detected in production environment audit log.,Security Alert,Layer 1 (Regex Syntactical Rule),100.0% (Deterministic Match),"[""Unauthorized""]"
AuditService,Immutable log chain verification failed at block index 88321.,Database Error,Layer 2 (BERT Vector Boundary),40.7%,"[""index"", ""Immutable""]"
APIManager,Rate limit exceeded for client app_id=5521 causing throttling response 429.,Network Anomaly,Layer 2 (BERT Vector Boundary),39.7%,"[""Rate"", ""response""]"
APIManager,Gateway request validation failed due to malformed JSON payload structure.,Network Anomaly,Layer 2 (BERT Vector Boundary),66.5%,"[""Gateway"", ""payload""]"
FileStorage,Object storage inconsistency detected between primary and replica region sync.,System Notification,Layer 1 (Regex Syntactical Rule),100.0% (Deterministic Match),"[""sync""]"
FileStorage,File retrieval latency increased due to cold storage tier migration.,Resource Warning,Layer 2 (BERT Vector Boundary),38.0%,"[""storage"", ""File""]"
CacheLayer,Redis cache eviction storm triggered by memory fragmentation.,Resource Warning,Layer 2 (BERT Vector Boundary),67.2%,"[""memory"", ""fragmentation""]"
CacheLayer,Cache miss ratio exceeded threshold after deployment of new ranking algorithm.,Resource Warning,Layer 2 (BERT Vector Boundary),37.3%,"[""Cache"", ""algorithm""]"
StreamingService,Real-time stream lag detected with consumer offset delay > 12s.,Network Anomaly,Layer 2 (BERT Vector Boundary),70.7%,"[""stream"", ""delay""]"
StreamingService,Kafka consumer group rebalance triggered due to node failure.,Network Anomaly,Layer 2 (BERT Vector Boundary),39.6%,"[""rebalance"", ""consumer""]"
MLPipeline,Feature store inconsistency detected between training and inference pipeline.,Database Error,Layer 2 (BERT Vector Boundary),51.9%,"[""store"", ""inconsistency""]"
MLPipeline,Model deployment failed due to incompatible ONNX runtime version mismatch.,Network Anomaly,Layer 2 (BERT Vector Boundary),40.2%,"[""ONNX"", ""incompatible""]"
